,Cultivar,Neighborhood,Location,Blooming,Longitude,Latitude,id,Description,ForumLink,PicLink,Favorate,Start,End
0,Accolade,Hastings-Sunrise,"5th, Nootka to Lillooet",03/29-04/08,-123.040283,49.265507,1003,Hastings-Sunrise - Accolades on East 5 Ave. from Nootka to Lillooet St are a 2008 VCBF Festival Favourite,http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=133390&postcount=1,http://www.ubcbotanicalgarden.org/forums/attachment.php?attachmentid=36611&d=1207461872; http://www.ubcbotanicalgarden.org/forums/attachment.php?attachmentid=36612&d=1207461890,1,03/29,04/08
1,Accolade,Kensington-Cedar Cottage,"Dumfries, 21st to 22nd",03/29-04/12,-123.073441,49.251099,1004,Kensington-Cedar Cottage -,http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=132782&postcount=27,http://www.ubcbotanicalgarden.org/forums/attachment.php?attachmentid=36337&d=1207205916; http://www.ubcbotanicalgarden.org/forums/attachment.php?attachmentid=36338&d=1207205926,0,03/29,04/12
2,Accolade,Kensington-Cedar Cottage,"Dumfries, 32nd to 33rd",03/29-04/12,-123.073868,49.241196,1005,"Kensington-Cedar Cottage - These Accolades on Dumfries from East 32nd-33rd, are identified as a VCBF Festival Favourite for 2008",http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=271347&postcount=165,http://www.ubcbotanicalgarden.org/forums/attachment.php?attachmentid=56228&d=1239334907; http://www.ubcbotanicalgarden.org/forums/attachment.php?attachmentid=56227&d=1239334907,1,03/29,04/12
3,Accolade,Kensington-Cedar Cottage,"Lanark, 21st to 22nd",03/29-04/12,-123.074768,49.251183,1006,Kensington-Cedar Cottage -,http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=193712&postcount=114,http://www.ubcbotanicalgarden.org/forums/attachment.php?attachmentid=57327&d=1240015932; http://www.ubcbotanicalgarden.org/forums/attachment.php?attachmentid=55477&d=1238383517,0,03/29,04/12
4,Accolade,Kerrisdale,"75th, east of Angus",03/29-04/08,-123.150391,49.20787,1007,"Kerrisdale - Private planting on corporate site, several trees",http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=132416&postcount=26,http://www.ubcbotanicalgarden.org/forums/attachment.php?attachmentid=36117&d=1207037934,1,03/29,04/08
5,Accolade,Kerrisdale,McCleery Park,03/29-04/08,-123.164162,49.226986,1008,Kerrisdale - Accolades at McCleery Park at 49 Ave and Marine Cres.,http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=130106&postcount=5,http://www.ubcbotanicalgarden.org/forums/attachment.php?attachmentid=35868&d=1206771555,0,03/29,04/08
6,Accolade,Kerrisdale,"Yew St, from W43rd to 46th",03/29-04/08,-123.158562,49.232521,1010,"Kerrisdale - Accolade on Yew St, from West 43rd to 46th.",http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=131600&postcount=20,http://farm4.static.flickr.com/3422/3214195375_fb22b94d23_o.jpg,1,03/29,04/08
7,Accolade,Marpole,58th and Adera,03/29-04/08,-123.143631,49.218494,1011,Marpole - One 'Accolade' on the SE corner of 58th and Adera,http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=131801&postcount=4,http://forums.botanicalgarden.ubc.ca/forums/attachment.php?attachmentid=35823&d=1206758449,0,03/29,04/08
8,Accolade,Marpole,"61st, Ontario to Manitoba",03/29-04/08,-123.10935562963869,49.215199049744854,1012,Marpole - Beautiful street of big old 'Accolade' on both sides,http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=192585&postcount=58,http://www.ubcbotanicalgarden.org/forums/attachment.php?attachmentid=76967&d=1267773989,1,03/29,04/08
9,Accolade,Marpole,66th west of Adera,03/29-04/08,-123.144356,49.211414,1013,Marpole - ,,,0,03/29,04/08
10,Accolade,Mount Pleasant,Behind City Hall at 11th and Yukon,03/29-04/08,-123.113647,49.261139,1014,Mount Pleasant - several trees on the north side of City Hall,http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=132016&postcount=11,http://www.vcbf.ca/images/stories/20100304_vancityhall_accolade_cutler_dsc05373.jpg,1,03/29,04/08
11,Accolade,Mount Pleasant,Yukon 14th-15th,03/29-04/08,-123.112732,49.258312,1015,"Mount Pleasant - Three Accolades, east side of Yukon between 14th and 15th",http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=132016&postcount=11,http://forums.botanicalgarden.ubc.ca/forums/attachment.php?attachmentid=35945&d=1206856492,0,03/29,04/08
12,Accolade,Oakridge,"Ash south of 45th, on condo property",03/29-04/08,-123.117813,49.229412,1016,Oakridge - two trees on condo property,http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=191054&postcount=16,http://forums.botanicalgarden.ubc.ca/forums/attachment.php?attachmentid=55634&d=1238616528,0,03/29,04/08
13,Accolade,Riley Park,18th between Sophia and Prince Edward,03/29-04/08,-123.097214,49.254612,1018,Riley Park - two trees on the block,http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=190883&postcount=32,http://forums.botanicalgarden.ubc.ca/forums/attachment.php?attachmentid=55522&d=1238531395,0,03/29,04/08
14,Accolade,Riley Park,"30th, Sophia to John",03/29-04/08,-123.098053,49.243168,1019,Riley Park - two trees,http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=191955&postcount=33,http://forums.botanicalgarden.ubc.ca/forums/attachment.php?attachmentid=55987&d=1239153032,0,03/29,04/08
15,Accolade,Shaughnessy,Angus Dr and Alexandra St in Angus Park,03/29-04/08,-123.143753,49.253731,1021,Shaughnessy - Accolades in Angus Park on Angus Dr and Alexandra St.,http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=248497&postcount=50,http://forums.botanicalgarden.ubc.ca/forums/attachment.php?attachmentid=77546&d=1268378373,1,03/29,04/08
16,Accolade,Shaughnessy,"Marguerite, King Edward to 28th",03/29-04/08,-123.144981,49.247917,1022,Shaughnessy - A few 'Accolade' trees remain on Marguerite St west side from King Edward to 28 Ave; cherries closest to King Edward are 'Whitcomb'. ,http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=248497&postcount=50,http://www.ubcbotanicalgarden.org/forums/attachment.php?attachmentid=35051&d=1205940711;http://www.ubcbotanicalgarden.org/forums/attachment.php?attachmentid=35055&d=1205941042,0,03/29,04/08
17,Accolade,South Cambie,"Laurel, 19th to 20th",03/29-04/08,-123.124619,49.253899,1023,South Cambie - 8 trees,http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=131086&postcount=1,http://www.ubcbotanicalgarden.org/forums/attachment.php?attachmentid=36600&d=1207455870; http://www.ubcbotanicalgarden.org/forums/attachment.php?attachmentid=36601&d=1207455887,1,03/29,04/08
18,Accolade,Strathcona,"E Pender st, Princess to Campbell Ave",03/23-04/08,-123.091164,49.280266,1024,Many 'Accolade' on Pender for three blocks,http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=133730&postcount=2,http://forums.botanicalgarden.ubc.ca/forums/attachment.php?attachmentid=36807&d=1207621128,1,03/23,04/08
19,Accolade,UBC,"Main Mall and Stores, outside the Barn",03/29-04/08,-123.250725,49.262051,1025,UBC - two trees,http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=133170&postcount=16,http://www.ubcbotanicalgarden.org/forums/attachment.php?attachmentid=36496&d=1207371235; http://www.ubcbotanicalgarden.org/forums/attachment.php?attachmentid=36497&d=1207371262,0,03/29,04/08
20,Accolade,Victoria-Fraserview,"Nanaimo, 48th-49th",03/29-04/08,-123.059319,49.225555,1027,Victoria-Fraserview - Accolades on Nanaimo from 48th to 49th are a 2008 VCBF Festival Favourite location.,http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=192096&postcount=16,http://forums.botanicalgarden.ubc.ca/forums/attachment.php?attachmentid=56084&d=1239227729,1,03/29,04/08
21,Accolade,West End / Stanley Park,"Beach and Thurlow, both sides",03/23-04/04,-123.135025,49.277466,1028,West End / Stanley Park - Accolade Cherry Trees at Beach and Thurlow.,http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=271132&postcount=183,http://forums.botanicalgarden.ubc.ca/forums/attachment.php?attachmentid=88522&d=1300983656,1,03/23,04/04
22,Accolade,West End / Stanley Park,Chilco mini-park at Comox,03/23-04/04,-123.142601,49.290623,1029,"West End / Stanley Park - Many Accolade at Chilco mini-park, running from Comox, through the park, and along the street to Nelson. A 2008 VCBF Festival Favourite.",http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=247456&postcount=127,http://www.vcbf.ca/images/stories/20100227_accolades-chilco%20minipark_currie.jpg,1,03/23,04/04
23,Accolade,Kerrisdale,50 Ave. from Marine Crescent to MacDonald,03/29-04/08,-123.16532,49.22644,1453,Several beautiful 'Accolade' on 50th between Marine Crescent and MacDonald,http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=192582&postcount=51,http://www.ubcbotanicalgarden.org/forums/attachment.php?attachmentid=88864&d=1301461910,1,03/29,04/08
24,Accolade,Strathcona,Union and Hawks,03/23-04/08,-123.08744,49.27748,1495,One nice tree in an intersection mini-park,http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=192310&postcount=19,http://www.ubcbotanicalgarden.org/forums/attachment.php?attachmentid=56187&d=1239313254,0,03/23,04/08
25,Accolade,Riley Park,Sophia north of 20th,03/29-04/08,-123.09848,49.25321,1531,Two large trees,http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=193428&postcount=39,http://forums.botanicalgarden.ubc.ca/forums/attachment.php?attachmentid=57095&d=1239869365,0,03/29,04/08
26,Accolade,Kensington-Cedar Cottage,Nanaimo north of Kingsway,03/29-04/12,-123.05706,49.24313,1571,Nice tree In private yard on west side of Nanaimo,http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=270746&postcount=164,http://forums.botanicalgarden.ubc.ca/forums/attachment.php?attachmentid=88190&d=1300582419,0,03/29,04/12
27,Accolade,Sunset,59th and Prince Edward,03/29-04/08,-123.09856,49.21677,1641,One 'Accolade' among a line of 'Whitcomb' on the NW corner of 59th at Prince Edward,http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=244310&postcount=44,http://www.ubcbotanicalgarden.org/forums/attachment.php?attachmentid=75789,0,03/29,04/08
28,Accolade,Mount Pleasant,15th and Columbia,03/29-04/08,-123.10953,49.2576833,1644,"'Accolade' trees in the back yard of a townhouse complex, visible from 15th and from Columbia. ",http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=247913&postcount=28,http://www.ubcbotanicalgarden.org/forums/attachment.php?attachmentid=77002,0,03/29,04/08
29,Accolade,Mount Pleasant,13th west of Alberta,03/29-04/08,-123.11169,49.25959,1645,One private tree on the north side of 13th west of Alberta,http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=247913&postcount=28,http://www.ubcbotanicalgarden.org/forums/attachment.php?attachmentid=77004,0,03/29,04/08
30,Accolade,Richmond,Yaohan Center ,03/29-04/14,-123.13434,49.18631,1649,Ten in the front entrance and two near Radisson Hotel.,http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=191083&postcount=10,http://www.ubcbotanicalgarden.org/forums/attachment.php?attachmentid=88301,0,03/29,04/14
31,Accolade,Richmond,Minoru Park,03/29-04/14,-123.1439,49.16842,1650,"Only one accolade grows in Richmond Minoru Park, by the wood bridge.",http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=271727&postcount=62,http://forums.botanicalgarden.ubc.ca/forums/attachment.php?attachmentid=88909&d=1301549336,0,03/29,04/14
32,Accolade,Richmond,Intersection of Gilbert and Granville,03/29-04/14,-123.14803,49.16254,1651,Two Accolades grow along Granville Ave near the intersection of Gilbert and Granville.,,http://www.ubcbotanicalgarden.org/forums/attachment.php?attachmentid=88298,0,03/29,04/14
33,Accolade,Grandview-Woodland,"Charles, Garden to Templeton",03/26-04/07,-123.05884,49.27307,1656,"Nine 'Accolade' in bloom on Charles Street, between Garden and Templeton. Eight are on the north side of Charles, across from Lord Nelson School; one single tree on the south side of Charles, close to Templeton. ",http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=271117&postcount=40,http://www.ubcbotanicalgarden.org/forums/attachment.php?attachmentid=88196,0,03/26,04/07
34,Accolade,Strathcona,Hawks and Georgia,03/23-04/08,-123.08731,49.27838,1659,Four nices 'Accolade' trees in intersection mini-park,http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=270981&postcount=34,http://www.ubcbotanicalgarden.org/forums/attachment.php?attachmentid=88458,0,03/23,04/08
35,Accolade,Strathcona,"Union, Heatley to Hawks",03/23-04/08,-123.08887,49.27741,1660,Two houses on the south side of Union have two 'Accolade' each.,http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=270981&postcount=34,http://www.ubcbotanicalgarden.org/forums/attachment.php?attachmentid=88451,0,03/23,04/08
36,Accolade,Strathcona,Hawks at Prior,03/23-04/08,-123.08765,49.27672,1661,"'Accolade' at the start of Strathcona Linear Park, which runs north for a block and a half. ",http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=270981&postcount=34,http://www.ubcbotanicalgarden.org/forums/attachment.php?attachmentid=88461,0,03/23,04/08
37,Accolade,Riley Park,Sophia St. at 18th and 19th,03/29-04/08,-123.0985,49.25478,1666,Single 'Accolade' trees at 18th and 19th on Sophia.,,,0,03/29,04/08
38,Accolade,Burnaby,6400 Halifax,03/29-04/08,-122.97177,49.2678,1676,Two 'Accolade' cheery trees are blossoming in 6400 block Halifax,http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=271386&postcount=29,http://www.ubcbotanicalgarden.org/forums/attachment.php?attachmentid=88715,0,03/29,04/08
39,Accolade,Richmond,"Granville Park, 6833 Livingstone Place, Richmond",03/29-04/14,-123.1486,49.16164,1680,"There are 18 blooming 'Accolade' inside Granville Park, 6833 Livingstone Place, Richmond",http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=271707&postcount=61,http://www.ubcbotanicalgarden.org/forums/attachment.php?attachmentid=88900,1,03/29,04/14
40,Accolade,Mount Pleasant,E 7th Ave at Glen,03/29-04/08,-123.08215,49.26433,1684,"Across from China Creek Park, submitted via a map user, one nice 'Accolade'. There are several plums on that block on both sides of the street, white on the north and pink on the south side.",http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=271986&postcount=34,http://www.ubcbotanicalgarden.org/forums/attachment.php?attachmentid=89073&d=1301810822,0,03/29,04/08
41,Accolade,UBC,Chancellor and Wesbrook,03/29-04/08,-123.24935,49.2743,1744,"First tree turning right on Wesbrook Crescent, about 30 metres north and downhill from Chancellor Boulevard",http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=128338&postcount=1,http://forums.botanicalgarden.ubc.ca/forums/attachment.php?attachmentid=34690&d=1205356044,0,03/29,04/08
42,Accolade,Kerrisdale,Marine Crescent at 50th,03/29-04/08,-123.16364,49.22654,1745,"Marine Crescent, near 50th Ave, several on the east side of Marine Crescent",http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=191109&postcount=47,http://forums.botanicalgarden.ubc.ca/forums/attachment.php?attachmentid=35124,0,03/29,04/08
43,Accolade,Richmond,Bathgate Way at Sweden Way,03/29-04/14,-123.08312,49.18917,1909,Two mature 'Accolade' south of IKEA at the deadend of Sweden Way,http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=248111&postcount=43,http://forums.botanicalgarden.ubc.ca/forums/attachment.php?attachmentid=77215,0,03/29,04/14
44,Accolade,Richmond,"Williams Road, No 4 to Shell",03/29-04/14,-123.10637,49.14069,1910,"Along Williams Road, between No. 4 and Shell, more than 50 'Accolade' cherry trees",http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=272479&postcount=79,http://forums.botanicalgarden.ubc.ca/forums/attachment.php?attachmentid=89447,0,03/29,04/14
45,Accolade,Grandview-Woodland,Nanaimo at Parker,03/26-04/07,-123.0568,49.27548,1924,"One 'Accolade' on the west side of Nanaimo, SW corner of Parker. In bloom at same time as 'Fudan-zakura' next to it.",http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=272232,http://forums.botanicalgarden.ubc.ca/forums/attachment.php?attachmentid=89264,0,03/26,04/07
46,Accolade,White Rock / South Surrey,Buena Vista,03/26-04/07,-122.80567,49.02773,1926,Buena Vista west of Martin.Big old tree with 4 trunks in full bloom,http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=290322&postcount=2,http://forums.botanicalgarden.ubc.ca/forums/attachment.php?attachmentid=98434,0,03/26,04/07
47,Accolade,White Rock / South Surrey,Southmere crescent-17Ave,03/26-04/07,-122.80906,49.03442,1930,One 'Accolade' tree,http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=290419&postcount=4,http://forums.botanicalgarden.ubc.ca/forums/attachment.php?attachmentid=98497&d=1332285302,0,03/26,04/07
48,Accolade,White Rock / South Surrey,16A Ave 142St,03/26-04/07,-122.82779,49.03231,1936,"Three beautiful 'Accolade' trees, with big pink double flowers ",http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=290467&postcount=11,http://forums.botanicalgarden.ubc.ca/forums/attachment.php?attachmentid=98542&d=1332376976,0,03/26,04/07
